nama_penyakit,jenis_patogen,kategori_penyakit,gejala_umum,gejala_pernapasan,gejala_pencernaan,gejala_saraf,cara_penularan,pengobatan_suportif,masa_inkubasi,program_vaksinasi,pencegahan,tingkat_kematian,tingkat_risiko,menular_ke_manusia,sumber,text,label
Avian Encephalomyelitis,Virus (Famili Picornaviridae),Virus,Ayam Terlihat Sayu; Produksi Telur Menurun,-,-,Gemetar/Tremor; Kelumpuhan; Gangguan Saraf; Kehilangan Keseimbangan,Kontak langsung antar unggas terinfeksi; Paparan sekresi/ekskresi unggas terinfeksi; Penularan vertikal melalui telur,-,11 hari,Vaksin tersedia,Biosekuriti ketat,Sedang (20%),Sedang,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu produksi telur menurun - - gemetar/tremor kelumpuhan gangguan saraf kehilangan keseimbangan,bakteri_lain
Avian Influenza (AI),Virus (Influenza A H5/H7),Virus,Nafsu makan menurun; Pembengkakan Muka; Kerabang Lembek; Produksi Telur Menurun; Warna Biru,Batuk; Bersin; Ngorok; Cairan Hidung Mata; Mulut Berlendir,Diare,Gemetar/Tremor; Kelumpuhan; Tortikolis (leher terpuntir); Gangguan Saraf,"Kontak langsung antar unggas terinfeksi; Paparan sekresi/ekskresi unggas terinfeksi; Melalui saluran pernapasan atau aerosol; Benda terkontaminasi (kandang, peralatan, sepatu, kendaraan, rak telur); Media lingkungan (pakan, air minum, debu); Hewan carrier (unggas air / burung liar); Penularan vertikal melalui telur; Vektor serangga; Lalu lintas / perdagangan unggas","Tidak ada pengobatan spesifik; Stamping out / eradikasi; Karantina unggas terinfeksi; Desinfeksi kandang dan peralatan; Peningkatan biosekuriti; Terapi suportif (vitamin, mineral, antibiotik, pemanas tambahan)",-,Vaksin tersedia; Vaksin inaktif; Program vaksinasi rutin dianjurkan,Biosekuriti ketat; Desinfeksi rutin; Pembatasan lalu lintas unggas; Karantina wilayah; Pelaporan ke dinas terkait; Depopulasi / stamping out,Sangat tinggi (100%),Sangat tinggi,Ya,Manual Penyakit Unggas Kementan,nafsu makan menurun pembengkakan muka kerabang lembek produksi telur menurun warna biru diare batuk bersin ngorok cairan hidung mata mulut berlendir gemetar/tremor kelumpuhan tortikolis (leher terpuntir) gangguan saraf,bakteri_lain
Cacar Unggas,Virus (Famili Poxviridae),Virus,Pembengkakan Muka; Lesu/Lemah; Penurunan Berat Badan,Sesak Napas,-,-,Media lingkungan (pakan); Hewan carrier (unggas air / burung liar); Vektor serangga,Tidak ada pengobatan spesifik,-,Vaksin tersedia; Vaksin aktif (live); Program vaksinasi rutin dianjurkan,Pelaporan ke dinas terkait,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,pembengkakan muka lesu/lemah penurunan berat badan - sesak napas -,bakteri_lain
Chicken Anemia Syndrome (CAS),Virus (Chicken Anemia Virus),Virus,Nafsu makan menurun; Anemia,-,Penurunan Nafsu Makan,-,Media lingkungan (pakan); Penularan vertikal melalui telur,Terapi suportif (antibiotik),2–4 hari; 3–4 hari,Vaksin tersedia; Vaksin inaktif; Monitoring titer antibodi pasca vaksinasi,Pelaporan ke dinas terkait,Rendah (6%),Sedang,Tidak,Manual Penyakit Unggas Kementan,nafsu makan menurun anemia penurunan nafsu makan - -,virus
Egg Drop Syndrome 1976 (EDS'76),Virus (Adenovirus),Virus,Nafsu makan menurun; Produksi Telur Menurun; Lesu/Lemah; Anemia,-,Diare,-,Paparan sekresi/ekskresi unggas terinfeksi; Penularan vertikal melalui telur,Tidak ada pengobatan spesifik,-,Vaksin tersedia,Kontrol unggas air; Pelaporan ke dinas terkait,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,nafsu makan menurun produksi telur menurun lesu/lemah anemia diare - -,virus
Helicopter Disease,Virus (Reovirus),Virus,Anemia,-,Diare,-,Penularan vertikal melalui telur,Tidak ada pengobatan spesifik; Terapi suportif (vitamin),-,Vaksin tersedia; Vaksin inaktif,Pelaporan ke dinas terkait,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,anemia diare - -,bakteri_lain
Inclusion Body Hepatitis (IBH),Virus (Adenovirus),Virus,Ayam Terlihat Sayu; Produksi Telur Menurun; Lesu/Lemah; Anemia,-,-,-,Paparan sekresi/ekskresi unggas terinfeksi; Benda terkontaminasi (kandang); Penularan vertikal melalui telur,Desinfeksi kandang dan peralatan; Terapi suportif (antibiotik),-,Vaksin tersedia; Program vaksinasi rutin dianjurkan; Monitoring titer antibodi pasca vaksinasi,Desinfeksi rutin; Pelaporan ke dinas terkait,Sedang (10%),Sedang,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu produksi telur menurun lesu/lemah anemia - - -,bakteri_lain
Infectious Bronchitis (IB),Virus (Coronavirus),Virus,Produksi Telur Menurun; Anemia,Batuk; Bersin; Ngorok; Cairan Hidung Mata,-,-,"Paparan sekresi/ekskresi unggas terinfeksi; Melalui saluran pernapasan atau aerosol; Benda terkontaminasi (peralatan, kendaraan); Media lingkungan (air minum); Hewan carrier (unggas air / burung liar); Penularan vertikal melalui telur","Tidak ada pengobatan spesifik; Peningkatan biosekuriti; Terapi suportif (vitamin, mineral, antibiotik, pemanas tambahan)",-,Vaksin tersedia; Program vaksinasi rutin dianjurkan,Biosekuriti ketat; Pelaporan ke dinas terkait,-,Sangat tinggi,Tidak,Manual Penyakit Unggas Kementan,produksi telur menurun anemia - batuk bersin ngorok cairan hidung mata -,bakteri_lain
Infectious Bursal Disease (IBD),Virus (Birnavirus),Virus,Ayam Terlihat Sayu; Nafsu makan menurun; Lesu/Lemah; Anemia; Bulu Kusut,-,Diare; Feses Putih,Gemetar/Tremor,"Kontak langsung antar unggas terinfeksi; Benda terkontaminasi (kandang, peralatan); Media lingkungan (pakan); Penularan vertikal melalui telur; Vektor serangga","Tidak ada pengobatan spesifik; Desinfeksi kandang dan peralatan; Terapi suportif (vitamin, mineral, antibiotik)",-,Vaksin tersedia; Monitoring titer antibodi pasca vaksinasi,Desinfeksi rutin; Pelaporan ke dinas terkait,Tinggi (>40%),Sedang,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu nafsu makan menurun lesu/lemah anemia bulu kusut diare feses putih - gemetar/tremor,bakteri_lain
Infectious Laryngo Tracheitis (ILT),Virus (Herpesvirus),Virus,Produksi Telur Menurun; Lesu/Lemah,Batuk; Ngorok; Cairan Hidung Mata; Mulut Berlendir,-,-,"Paparan sekresi/ekskresi unggas terinfeksi; Benda terkontaminasi (kandang, peralatan); Hewan carrier (unggas air / burung liar)",Tidak ada pengobatan spesifik; Desinfeksi kandang dan peralatan,6–12 hari; 2–4 hari; 6–8 hari,Vaksin tersedia,Desinfeksi rutin; Pelaporan ke dinas terkait,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,produksi telur menurun lesu/lemah - batuk ngorok cairan hidung mata mulut berlendir -,bakteri_lain
